ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
423,simple,,Muestra Black Spider,1,0,visible,Muestra de quemador cont 10g,"Los quemadores de grasa o termogénicos son utiles usados de manera correcta para tu peso corporal y en momentos idóneos. Porque realmente estos componentes no te hacen adelgazar por sí mismos, sino que necesitan que salgas en bici para conseguirlo, necesitan una alimentación equilibrada y ejercicio para ser realmente útiles",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
424,simple,,Muestra BSN True Mass,1,0,visible,Muestra de ganador de peso cont 10g,"Un mass gainer es un suplemento deportivo, que generalmente se toma en forma de batido, cuya finalidad es ganar peso. Este suplemento se compone en su gran mayoría de carbohidratos, pero también contienen proteínas, grasas, glutamina e incluso algunos tienen creatina. El gainer, a diferencia de los que muchos piensan, sigue siendo un suplemento natural y no de dopaje.",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
425,simple,,Muestra BPI CLAAs,1,0,visible,Muestra de CLAAs cont 10g,"El ácido linoleico conjugado es un ácido esencial. Por lo tanto, el cuerpo humano no puede sintetizarlo por sí mismo, y su suministro en las células debe reponerse con alimentos o suplementos quema grasa como el que ofrecemos en nuestra tienda online que además de ayudar a perder peso potenciará el crecimiento de la masa muscular entre otro beneficios que os explicamos más adelante.",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
426,simple,,Muestra BSN CLAAs,1,0,visible,Muestra de CLAAs cont 10g,"El ácido linoleico conjugado es un ácido esencial. Por lo tanto, el cuerpo humano no puede sintetizarlo por sí mismo, y su suministro en las células debe reponerse con alimentos o suplementos quema grasa como el que ofrecemos en nuestra tienda online que además de ayudar a perder peso potenciará el crecimiento de la masa muscular entre otro beneficios que os explicamos más adelante.",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
427,simple,,Muestra Protein Gainer,1,0,visible,Muestra de ganador de peso cont 10g,"Un mass gainer es un suplemento deportivo, que generalmente se toma en forma de batido, cuya finalidad es ganar peso. Este suplemento se compone en su gran mayoría de carbohidratos, pero también contienen proteínas, grasas, glutamina e incluso algunos tienen creatina. El gainer, a diferencia de los que muchos piensan, sigue siendo un suplemento natural y no de dopaje.",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
428,simple,,Muesta GAT Caffeine,1,0,visible,Muestra de preentrenamiento cont 10g,"Los suplementos pre-workout constituyen una gran ayuda para mejorar la capacidad y el rendimiento físico, y alcanzar cotas superiores en los entrenamientos deportivos.",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
429,simple,,Muestra Hydroxycut,1,0,visible,Muestra de quemador cont 10g,"Los quemadores de grasa o termogénicos son utiles usados de manera correcta para tu peso corporal y en momentos idóneos. Porque realmente estos componentes no te hacen adelgazar por sí mismos, sino que necesitan que salgas en bici para conseguirlo, necesitan una alimentación equilibrada y ejercicio para ser realmente útiles",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
430,simple,,Muestra Insane Cutz,1,0,visible,Muestra de quemador cont 10g,"Los quemadores de grasa o termogénicos son utiles usados de manera correcta para tu peso corporal y en momentos idóneos. Porque realmente estos componentes no te hacen adelgazar por sí mismos, sino que necesitan que salgas en bici para conseguirlo, necesitan una alimentación equilibrada y ejercicio para ser realmente útiles",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
431,simple,,Muestra Iso100,1,0,visible,Muestra de proteina cont 10g,"Las proteínas son macro nutrientes esenciales que adquirimos a través de los alimentos y que cumplen funciones importantes para el buen funcionamiento del organismo. Aportan 4 calorías por gramo, al igual que los hidratos de carbono, pero su función principal no es energética.",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
432,simple,,Muestra Nitraflex,1,0,visible,Muestra de preentrenamiento cont 10g,"Los suplementos pre-workout constituyen una gran ayuda para mejorar la capacidad y el rendimiento físico, y alcanzar cotas superiores en los entrenamientos deportivos.",,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
433,simple,,Muestra Psichotyc,1,0,visible,Muestra de preentrenamiento cont 10g,Los suplementos pre-workout o pre-entreno son complejos nutricionales o sustancias alimenticias que se toman antes de la práctica deportiva y tienen por finalidad mejorar la capacidad del deportista antes de someterse a las rutinas de entrenamientos.,,,taxable,,1,12,,0,0,10,5,1,5,1,,60,100,Muestras,Muestras,,,,,,,,,,,0
